"Code","NUTS2","NUTS2_Name","COUNTRY","LF_113- GDP","LF_113 - GDP/capita","LF_211 - Recreational opportunities potential","LF_311 - Water consumption","LF_312 - Water productivity","LF_321 - Food and feed production","LF_331 - Biomass harvested from energy crops","LF_332 - Energy content of dedicated energy crops","LF_411 - Share  of residential areas over the total land area","LF_412 - Residential areas per person","LF_413 - Urban Sprawl","LF_415 - Population density","LF_421 - Share of industrial/commercial areas","LF_422 - Industrial economic output per unit of industrial/commercial area","LF_431 - Share of built-up areas over the total land","LF_432 - Productivity of built-up areas","LF_433 - Built-up  per person","LF_441 - Potential accessibility","LF_442 - Network efficiency","LF_443 - Local accessibility (Travel time to nearest city)","LF_444 - Daily accessibility (Amount of people reached within 4 hours)","LF_511- NO2 removal by urban vegetation","LF_521 - Capacity of ecosystems to avoid soil erosion","LF_522 - Soil retention","LF_524 - Water Retention","LF_531 - Relative pollination potential","LF_532 - C-stock changes","LF_612a - Habitat quality for common birds","LF_612b - Habitat quality for forest birds","LF_612c - Habitat quality for farmland birds","LF_621 - Proportion of Green Infrastructure","LF_622 - Green Infrastructure fragmentation","Year","POPULATION"
"167","CY0","CYPRUS","Cyprus",94.73,90.33,85.11,100.47,97.57,44.57,NA,NA,76.43,181.5,112.35,89.08,89.33,27.64,108.75,39.48,188.37,0.85,0,0,0.28,103.89,88.08,101.5,116.69,376.46,100,109.47,110.66,112.05,124.63,93.57,2010,803147
"174","CY00","Kipros / Kibris","Cyprus",94.73,90.33,85.11,100.47,97.57,44.57,NA,NA,76.43,181.5,112.35,89.08,89.33,27.64,108.75,39.48,188.37,0.85,0,0,0.28,103.89,88.08,101.5,116.69,376.46,100,109.47,110.66,112.05,124.63,93.57,2010,803147
"179","CZ","CZECH REPUBLIC (CNT)","Czech Republic",34.23,61.18,84.67,96.98,118.79,78.6,NA,NA,104.02,102.01,108.09,95.24,100,39.42,113.95,50.2,106.98,156.12,127.03,163.97,160.3,107.14,102.46,68.83,98.29,56.1,100,109.41,111.58,111.22,89.73,38.26,2010,8968861
"185","CZ0","CZECH REPUBLIC","Czech Republic",94.85,59.97,82.91,94.53,102.2,55.57,NA,NA,116.52,107.26,104.06,103.72,153.13,35.98,120.38,56.75,114.87,107.9,105.72,122.11,110.07,123.04,101.48,101.98,97.37,60.04,100,101.98,102.19,103.8,98.52,100.35,2010,10506813
"188","CZ01","Praha","Czech Republic",102.33,128.22,54.88,93.83,105.56,22.83,NA,NA,429.06,35.66,47.75,156.12,574.24,126.07,222.92,215.61,49.38,139.18,108.92,123.26,133.34,209.49,100.18,96.21,87.08,28.13,100,36.1,23.28,37.87,48.9,115.3,2010,1232774
"195","CZ02","Stredni Cechy","Czech Republic",93.84,53.41,67.5,94.16,102.09,63.04,NA,NA,76.43,140.29,120.46,94.13,108.47,17.83,116.21,28.85,155.22,112.72,106.48,130.35,117.72,108.48,101.03,100.35,96.12,56.25,100,109.8,102.32,119.23,74.07,103.18,2010,1237719
"196","CZ03","Jihozapad","Czech Republic",93.17,51.39,99.2,94.39,101.65,60.87,NA,NA,45.23,135.9,114.54,84.49,51.04,24.03,77.47,30.37,138.76,107.4,105.77,152.31,110.66,101.81,102.41,101.24,97.37,67.07,100,123.08,122.73,131.04,120.89,95.05,2010,1209082
"201","CZ04","Severozapad","Czech Republic",92.05,48.19,99.2,95.52,100.4,43.48,NA,NA,60.83,94.4,103.38,97.34,95.71,20.93,100.13,36.44,108.82,121.6,107.11,150.27,127.97,142.9,101.66,103.88,102.64,80.05,100,93.3,96.56,91.07,129,95.53,2010,1149786
"207","CZ05","Severovychod","Czech Republic",94.73,48.22,81,94.62,102.13,68.48,NA,NA,75.86,128.6,113.67,95.97,70.18,26.61,108.75,31.89,127.56,95.56,103.94,121.31,98.29,116.59,101.77,103.47,95.87,64.91,100,118.47,126.04,115.8,109.03,98.19,2010,1512758
"211","CZ06","Jihovychod","Czech Republic",96.74,53.91,70.73,95.52,102.22,61.96,NA,NA,66.78,115.45,113.01,95.51,70.18,27.39,100.13,37.96,116.13,101.78,106.25,120.19,104.09,85.72,100.81,101.14,96.87,58.42,100,122.97,115.46,133.25,75.74,102.43,2010,1669637
"216","CZ07","Stredni Morava","Czech Republic",92.72,47.55,96.85,93.26,102.32,66.3,NA,NA,76.71,117.49,112.79,97.8,89.33,21.96,108.75,33.4,119.1,92.63,104.37,92.76,95.56,103.67,101.77,104.5,99.63,62.74,100,115.15,128.07,106.42,110.9,96.22,2010,1241276
"222","CZ08","Moravskoslezsko","Czech Republic",93.17,48.84,93.92,94.95,101.19,57.61,NA,NA,101.24,90.31,106.88,108.36,165.89,22.99,128.68,39.48,104.01,92.33,102.93,86.41,92.95,115.67,102.19,105.07,103.39,62.74,100,96.94,103.07,95.71,119.64,96.9,2010,1253781
"430","DK","DENMARK (CNT)","Denmark",54.01,183.26,67.15,96.04,137.23,237.19,NA,NA,127.37,128.2,107.44,91.66,100,138.85,130.23,120,134.15,79.49,125.23,115.08,46.54,77.49,103.16,5.16,96.03,38.55,100,99.64,81.33,123.79,41.24,564.71,2010,11592534
"435","DK0","DENMARK","Denmark",103.27,170.48,71.79,94.89,105.17,169.13,NA,NA,109.97,145.67,109.38,98.26,102.09,108.82,124.06,102.64,153.8,52.34,102.37,83.74,28.55,91.8,101.81,92.68,95.92,45,100,101.46,84.4,124.72,50.44,110.63,2010,5534737
"440","DK01","Hovedstaden","Denmark",110.6,222.81,88.93,93.26,109.25,108.7,NA,NA,250.83,80.08,101.62,129.03,280.74,170.77,179.89,204.98,90.3,53.32,90.48,68.48,19.98,166.41,100.07,92.83,92.85,51.92,100,81.3,84.59,72.53,67.83,111.09,2010,1662097
"442","DK02","Sjaelland","Denmark",98.76,132.2,68.09,91.57,105.94,241.3,NA,NA,93.02,168.93,113.67,94.13,51.04,95.59,122.79,63.77,172.14,56.96,100.98,77.01,33.39,68.62,100.39,92.2,97.87,38.94,100,107.33,93.99,123.09,39.33,115.93,2010,830564
"449","DK03","Syddanmark","Denmark",104.34,162.85,62.81,97.88,103.3,190.22,NA,NA,72.88,151.39,111.7,91.83,82.95,66.14,108.75,81.99,163.91,65.93,107.21,121.46,45.96,64.96,102.94,91.47,91.6,41.11,100,102.62,80.53,121.76,39.12,110.26,2010,1205264
"451","DK04","Midtjylland","Denmark",105.23,170.9,67.8,99.12,102.69,160.87,NA,NA,71.75,155.19,111.48,90.92,63.8,82.16,108.75,88.07,161.85,49.1,106.94,79.71,28.43,79.19,103.15,94.3,96.87,47.6,100,114.19,97.95,140.31,52.64,110.27,2010,1254961
"457","DK05","Nordjylland","Denmark",97.41,163.65,71.32,92.59,104.66,144.57,NA,NA,61.4,172.73,108.41,85.41,31.9,129.43,100.13,74.4,180.83,36.4,106.25,72.03,14.97,79.83,102.51,92.59,100.38,45.43,100,101.87,64.94,165.92,53.27,105.59,2010,581851
"464","EE","ESTONIA (CNT)","Estonia",3.28,45.95,108.03,94.9,67.08,32.28,NA,NA,27.6,114.97,94.15,22.2,0,19.89,32.56,31.68,127.36,9.34,60.36,17.02,9.18,141.33,103.85,3.25,128.46,79,100,105.71,102.87,119.29,134.28,18.73,2010,12204064
